   5.0000000e-01   6.8948419e+00   1.2863575e-03   7.1706744e-05   2.0068306e-01
   6.0000000e-01   4.5230136e+00   9.8992381e-04   1.2202537e-04   2.0077368e-01
   5.4000000e-01   5.4942232e+00   3.9205804e-03   3.3405755e-04   2.0174555e-01
   6.4000000e-01   4.0361952e+00   2.5787791e-03   3.9458724e-04   2.0170423e-01
   5.2000000e-01   6.8419632e+00   1.5241702e-02   8.5643061e-04   2.0460854e-01
   5.8000000e-01   5.6995787e+00   1.1512849e-02   9.1165968e-04   2.0432108e-01
   5.6000000e-01   5.5146851e+00   1.5061171e-02   1.2658421e-03   2.0575823e-01
   6.2000000e-01   3.6208642e+00   1.4231758e-02   2.6520207e-03   2.0921771e-01
   6.6000000e-01   3.2630120e+00   1.2149183e-02   2.7792223e-03   2.0921133e-01
   7.2000000e-01   3.2305151e+00   1.2284519e-02   2.8655553e-03   2.0945133e-01
   6.8000000e-01   2.9135313e+00   1.0551145e-02   3.0319552e-03   2.0961676e-01
   7.0000000e-01   3.4969061e+00   2.3149241e-02   4.5662961e-03   2.1546644e-01
   7.4000000e-01   3.0482506e+00   2.6874680e-02   6.8810403e-03   2.2196168e-01
   7.6000000e-01   2.4214008e+00   1.1421360e-01   3.8561004e-02   3.1966568e-01
   7.8000000e-01   2.4490336e+00   1.8701012e-01   5.4731013e-02   3.7558918e-01
   8.0000000e-01   1.5014001e+00   3.8450767e-01   1.4150042e-01   6.7541806e-01
   8.2000000e-01   5.6682983e-01   2.0706331e-01   2.1001634e-01   9.0860053e-01
   8.4000000e-01   5.4746444e-01   2.4626604e-01   2.1739894e-01   9.4790690e-01
   9.0000000e-01   4.9476593e-01   2.0725777e-01   2.1825913e-01   9.4961538e-01
   8.6000000e-01   4.4818428e-01   2.4966748e-01   2.2744327e-01   1.0071958e+00
   8.8000000e-01   3.9728409e-01   2.1869322e-01   2.2940958e-01   1.0172641e+00
   9.2000000e-01   3.4686696e-01   2.5471285e-01   2.3538485e-01   1.0743616e+00
   9.8000000e-01   3.5037757e-01   3.0494210e-01   2.3597207e-01   1.1036431e+00
   1.0000000e+00   3.3809696e-01   3.2812467e-01   2.3614746e-01   1.1256263e+00
   9.4000000e-01   2.6826881e-01   2.0628388e-01   2.3732794e-01   1.0968616e+00
   9.6000000e-01   2.6278436e-01   2.4628221e-01   2.3852477e-01   1.1277887e+00

%optimal: 
% 9.6000000e-01   2.6278436e-01   2.4628221e-01   2.3852477e-01   1.1277887e+00
%verde=[0 0.5 0]
%plot(2.3852477e-01,1.1277887e+00,'o','LineWidth',2,'MarkerEdge',verde)
%sub-optimal
%9.2000000e-01   3.4686696e-01   2.5471285e-01   2.3538485e-01   1.0743616e+00
%plot(2.3538485e-01,1.0743616e+00,'o','LineWidth',2,'MarkerEdge','r')
%middle
%8.2000000e-01   5.6682983e-01   2.0706331e-01   2.1001634e-01   9.0860053e-01
% plot(2.1001634e-01,9.0860053e-01,'o','LineWidth',2,'MarkerEdge','m')
%null
%   5.0000000e-01   6.8948419e+00   1.2863575e-03   7.1706744e-05   2.0068306e-01
%maroon=[0.5 0 0]
% plot(7.1706744e-05 ,  2.0068306e-01   ,'o','LineWidth',2,'MarkerEdge',maroon)

