   3.0000000e-01   3.1588014e+00   2.7530318e-03   6.8050271e-04   2.0244002e-01
   3.5000000e-01   3.1537475e+00   2.8160528e-03   6.9825514e-04   2.0249456e-01
   6.5000000e-01   3.2989525e+00   6.9979519e-03   1.5774099e-03   2.0536768e-01
   4.5000000e-01   2.9841868e+00   7.7174740e-03   2.1227200e-03   2.0686222e-01
   7.0000000e-01   2.3433165e+00   5.6036966e-03   2.5747287e-03   2.0781470e-01
   6.0000000e-01   3.0854345e+00   1.1066714e-02   2.8323161e-03   2.0917996e-01
   5.0000000e-01   2.6496697e+00   1.0298205e-02   3.5963524e-03   2.1106551e-01
   5.5000000e-01   2.4242746e+00   1.1509700e-02   4.8344077e-03   2.1456538e-01
   4.0000000e-01   3.2226162e+00   2.0918623e-02   4.8460156e-03   2.1582884e-01
   7.5000000e-01   1.7957947e+00   1.3955846e-02   1.1455008e-02   2.3558000e-01
   8.0000000e-01   9.2739106e-01   1.7517823e-01   1.5901569e-01   7.0703454e-01
   8.5000000e-01   4.8986906e-01   2.3016166e-01   2.2163607e-01   9.6912139e-01
   9.0000000e-01   3.8022976e-01   2.4027120e-01   2.3245261e-01   1.0430099e+00
   9.5000000e-01   2.7559424e-01   2.0105839e-01   2.3672093e-01   1.0878131e+00
   1.0000000e+00   2.4715947e-01   2.1983367e-01   2.3842673e-01   1.1219950e+00
